date,open,high,low,close,volume
2017-04-27,26.6665,26.6847,26.4207,26.4753,32939845
2017-04-28,26.4935,26.5481,26.3387,26.3934,24079191
2017-05-01,26.4116,26.5572,26.3387,26.3478,24015753
2017-05-02,26.4116,26.448,26.3205,26.3934,33760037
2017-05-03,26.3296,26.6665,26.2659,26.6119,26893250
2017-05-04,26.6483,26.6847,26.448,26.5845,19611126
2017-05-05,26.5208,26.621,26.5026,26.6028,16927056
2017-05-08,26.5481,26.6255,26.4025,26.4662,21630294
2017-05-09,26.4753,26.4844,26.275,26.3387,23838711
2017-05-10,26.3296,26.3387,26.0383,26.1293,26047230
2017-05-11,26.1111,26.3023,25.9472,26.2841,28015381
2017-05-12,25.8198,25.9017,25.3555,25.7378,68433185
2017-05-15,25.5558,25.7105,25.4647,25.6559,39767489
2017-05-16,25.7196,25.7469,25.492,25.5284,29509159
2017-05-17,25.3282,25.3737,24.9549,24.9549,52461830
2017-05-18,24.8183,25.1734,24.6726,25.0186,48447556
2017-05-19,25.0823,25.6423,25.0368,25.5375,48488671
2017-05-22,25.7014,25.7652,25.5467,25.6559,27810667
2017-05-23,25.6832,25.7469,25.5922,25.7469,23877122
2017-05-24,25.7834,25.9472,25.1461,25.3373,53867078
2017-05-25,25.3008,25.401,24.964,25.0277,39254436
2017-05-26,25.0004,25.0823,24.8456,24.9913,30624045
2017-05-30,24.8638,24.9913,24.7273,24.9094,36435745
2017-05-31,24.882,24.9776,24.7546,24.9276,35610474
2017-06-01,25.0459,25.3791,25.0368,25.2371,32387712
2017-06-02,25.3737,25.4374,25.1461,25.3828,37007626
2017-06-05,25.401,25.5558,25.319,25.4738,43509471
2017-06-06,25.4738,25.5284,25.319,25.4283,33721157
2017-06-07,25.4465,25.4556,24.9458,25.2007,43539099
2017-06-08,25.1825,25.3282,25.0641,25.1188,40919811
2017-06-09,25.1552,25.4647,25.1188,25.4374,25362831
2017-06-12,26.621,26.8304,26.1566,26.3478,139089520
2017-06-13,26.5117,26.5481,25.8016,25.9017,58823660
2017-06-14,25.929,26.2204,25.8289,26.1202,41120302
2017-06-15,26.1478,26.5793,26.1019,26.5701,47868093
2017-06-16,26.6068,26.6344,26.2763,26.6252,81565622
2017-06-19,26.5885,26.6252,26.3865,26.4416,30504721
2017-06-20,26.3589,26.3681,25.7805,25.8264,47542911
2017-06-21,25.8723,25.8815,25.3811,25.5051,33758069
2017-06-22,25.4959,25.551,25.2847,25.2939,36384635
2017-06-23,25.5143,25.5143,25.248,25.3123,31736487
2017-06-26,25.3306,25.4133,25.248,25.349,28501563
2017-06-27,25.2664,25.3261,24.9726,24.9818,41329428
2017-06-28,25.0277,25.1562,24.8349,24.8624,31015779
2017-06-29,24.9359,25.1654,24.5962,24.8073,36732082
2017-06-30,24.8716,24.9634,24.7063,24.7981,26254238
2017-07-03,24.9359,25.3306,24.844,25.2021,20664991
2017-07-05,25.2847,25.3031,25.0001,25.1103,21270222
2017-07-06,24.6604,24.8343,23.9627,24.1555,76645911
2017-07-07,24.1004,24.1463,23.8525,24.0086,40543122
2017-07-10,23.9902,24.0453,23.7331,23.9076,46755231
2017-07-11,23.8984,24.284,23.7882,24.2197,41251603
2017-07-12,24.3666,24.6099,24.2106,24.4034,50986283
2017-07-13,24.4034,24.6329,24.3299,24.5962,27767620
2017-07-14,24.5502,24.6971,24.5411,24.587,21058280
2017-07-17,24.5686,24.6788,24.5319,24.6237,27695627
2017-07-18,24.5686,24.7155,24.5457,24.688,26146078
2017-07-19,24.6512,24.8165,24.6421,24.7339,24792361
2017-07-20,24.8073,24.8349,24.4217,24.5043,55158141
2017-07-21,23.3016,23.8754,23.1914,23.7882,90649890
2017-07-24,23.6689,23.7331,23.2741,23.3475,56872280
2017-07-25,23.4761,23.623,23.2833,23.3567,46181545
2017-07-26,23.4944,23.5862,23.2924,23.4944,40733416
2017-07-27,23.4944,23.6872,23.4302,23.678,39888012
2017-07-28,23.7423,23.7607,23.32,23.4393,28286777
2017-07-31,23.4485,23.5862,23.4026,23.5128,30616287
2017-08-01,23.5311,23.5587,23.2557,23.3567,41911312
2017-08-02,23.3567,23.4761,23.3108,23.4302,27387013
2017-08-03,23.4944,23.6689,23.2924,23.6505,30916656
2017-08-04,23.6413,23.7331,23.522,23.6689,23312961
2017-08-07,23.6321,23.678,23.4577,23.5311,18870367
2017-08-08,23.5311,23.7699,23.4256,23.4669,27143601
